              LEXEME	             LINE_NO	            TOKENAME	      VALUE (if num)	              PARENT	            IS LEAF?	         NODE SYMBOL
                  <=	             50	                ----	                  LE	        relationalOp	                 YES	                  LE
                ----	              0	                ----	                ----	        one_more_opt	                NOPE	        relationalOp
                ----	              0	                ----	                ----	            opt_expr	                NOPE	        one_more_opt
                   k	             50	                ----	                  ID	                 var	                 YES	                  ID
                ----	              0	                ----	                ----	              factor	                NOPE	                 var
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId
                ----	              0	                ----	                ----	                term	                NOPE	              factor
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	                term
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr
                ----	              0	                ----	                ----	        one_more_opt	                NOPE	      arithmeticExpr
                 EPS	              0	                ----	                 EPS	   arithmeticExpr_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	   arithmeticExpr_lr
                ----	              0	                ----	                ----	       iterativeStmt	                NOPE	arithmeticOrBooleanExpression
                 EPS	              0	                ----	                 EPS	         opt_expr_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	arithmeticOrBooleanExpression	                NOPE	         opt_expr_lr
                   )	             50	                ----	                  BC	       iterativeStmt	                 YES	                  BC
               start	             51	                ----	               START	       iterativeStmt	                 YES	               START
           get_value	             52	                ----	           GET_VALUE	              ioStmt	                 YES	           GET_VALUE
                ----	              0	                ----	                ----	           statement	                NOPE	              ioStmt
                   (	             52	                ----	                  BO	              ioStmt	                 YES	                  BO
             tempvar	             52	                ----	                  ID	              ioStmt	                 YES	                  ID
                   )	             52	                ----	                  BC	              ioStmt	                 YES	                  BC
                   ;	             52	                ----	             SEMICOL	              ioStmt	                 YES	             SEMICOL
                ----	              0	                ----	                ----	          statements	                NOPE	           statement
                ----	              0	                ----	                ----	       iterativeStmt	                NOPE	          statements
                arr1	             53	                ----	                  ID	      assignmentStmt	                 YES	                  ID
                ----	              0	                ----	                ----	          simpleStmt	                NOPE	      assignmentStmt
                   [	             53	                ----	                SQBO	       lvalueARRStmt	                 YES	                SQBO
                ----	              0	                ----	                ----	           whichStmt	                NOPE	       lvalueARRStmt
                   i	             53	                ----	                  ID	            index_nt	                 YES	                  ID
                ----	              0	                ----	                ----	       lvalueARRStmt	                NOPE	            index_nt
                   ]	             53	                ----	                SQBC	       lvalueARRStmt	                 YES	                SQBC
                  :=	             53	                ----	            ASSIGNOP	       lvalueARRStmt	                 YES	            ASSIGNOP
                   i	             54	                ----	                  ID	                 var	                 YES	                  ID
                ----	              0	                ----	                ----	              factor	                NOPE	                 var
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId
                ----	              0	                ----	                ----	                term	                NOPE	              factor
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	                term
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr
                ----	              0	                ----	                ----	            opt_expr	                NOPE	      arithmeticExpr
                   +	             54	                ----	                PLUS	                 op1	                 YES	                PLUS
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	                 op1
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	   arithmeticExpr_lr
                   1	             54	                   1	                 NUM	                 var	                 YES	                 NUM
                ----	              0	                ----	                ----	              factor	                NOPE	                 var
                ----	              0	                ----	                ----	                term	                NOPE	              factor
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	                term
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr
                 EPS	              0	                ----	                 EPS	   arithmeticExpr_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	   arithmeticExpr_lr
                ----	              0	                ----	                ----	arithmeticOrBooleanExpression	                NOPE	            opt_expr
                 EPS	              0	                ----	                 EPS	        one_more_opt	                 YES	                 EPS
                ----	              0	                ----	                ----	            opt_expr	                NOPE	        one_more_opt
                ----	              0	                ----	                ----	          expression	                NOPE	arithmeticOrBooleanExpression
                 EPS	              0	                ----	                 EPS	         opt_expr_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	arithmeticOrBooleanExpression	                NOPE	         opt_expr_lr
                ----	              0	                ----	                ----	       lvalueARRStmt	                NOPE	          expression
                   ;	             54	                ----	             SEMICOL	       lvalueARRStmt	                 YES	             SEMICOL
                ----	              0	                ----	                ----	      assignmentStmt	                NOPE	           whichStmt
                ----	              0	                ----	                ----	           statement	                NOPE	          simpleStmt
                ----	              0	                ----	                ----	          statements	                NOPE	           statement
                ----	              0	                ----	                ----	          statements	                NOPE	          statements
                 EPS	              0	                ----	                 EPS	          statements	                 YES	                 EPS
                ----	              0	                ----	                ----	          statements	                NOPE	          statements
                 end	             56	                ----	                 END	       iterativeStmt	                 YES	                 END
                ----	              0	                ----	                ----	          statements	                NOPE	           statement
                ----	              0	                ----	                ----	          statements	                NOPE	          statements
                 EPS	              0	                ----	                 EPS	          statements	                 YES	                 EPS
                ----	              0	                ----	                ----	          statements	                NOPE	          statements
                 end	             57	                ----	                 END	           moduleDef	                 YES	                 END
                 EPS	              0	                ----	                 EPS	        otherModules	                 YES	                 EPS
                ----	              0	                ----	                ----	             program	                NOPE	        otherModules
